1. REER,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.052292,0.001252,0.946456
2,0.051664,0.013533,0.934803
3,0.084198,0.034589,0.881213
4,0.084047,0.034488,0.881465
5,0.074542,0.101615,0.823843
6,0.076638,0.101213,0.822149
7,0.090561,0.101342,0.808098
8,0.090671,0.104715,0.804614
9,0.090438,0.105632,0.80393
10,0.090345,0.106012,0.803644
11,0.090687,0.10614,0.803173
12,0.090696,0.106246,0.803058
