3. Real GDP,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,1,0,0
2,0.977269,0.013891,0.00884
3,0.943619,0.043636,0.012745
4,0.921193,0.044291,0.034515
5,0.913856,0.05172,0.034423
6,0.912972,0.051819,0.03521
7,0.9109,0.052218,0.036882
8,0.910714,0.052284,0.037002
9,0.910635,0.052363,0.037001
10,0.910254,0.052452,0.037295
11,0.909551,0.052417,0.038033
12,0.909535,0.052433,0.038032
