2. CPI,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.000109,0.999891,0
2,0.041271,0.945775,0.012955
3,0.041512,0.945538,0.012951
4,0.053195,0.932898,0.013907
5,0.058582,0.924515,0.016903
6,0.059111,0.923531,0.017359
7,0.059906,0.92255,0.017544
8,0.060342,0.922111,0.017548
9,0.060775,0.921665,0.01756
10,0.060773,0.921608,0.017619
11,0.0608,0.921562,0.017638
12,0.060802,0.921554,0.017644
