1. REER,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.008612,0.012313,0.979074
2,0.008814,0.016787,0.974399
3,0.009558,0.01472,0.975722
4,0.009962,0.016669,0.973369
5,0.041631,0.026935,0.931434
6,0.041428,0.028319,0.930253
7,0.045508,0.035477,0.919015
8,0.049996,0.035455,0.914549
9,0.050145,0.036328,0.913526
10,0.050014,0.036568,0.913418
11,0.050552,0.038663,0.910785
12,0.050663,0.03886,0.910477
