2. CPI,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.007019,0.992981,0
2,0.006871,0.970333,0.022795
3,0.025016,0.919717,0.055268
4,0.038892,0.892265,0.068843
5,0.041777,0.839878,0.118345
6,0.054716,0.804232,0.141052
7,0.054824,0.803827,0.141349
8,0.056099,0.802723,0.141178
9,0.056367,0.800541,0.143092
10,0.056246,0.799945,0.143808
11,0.05624,0.799894,0.143866
12,0.056282,0.799623,0.144094
