2. CPI,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.006037,0.993963,0
2,0.005372,0.931909,0.062719
3,0.200844,0.74471,0.054446
4,0.199922,0.737638,0.06244
5,0.176546,0.724515,0.098938
6,0.174577,0.731406,0.094017
7,0.182057,0.703596,0.114347
8,0.184354,0.700513,0.115132
9,0.178738,0.702649,0.118612
10,0.17431,0.705522,0.120168
11,0.178721,0.700468,0.120811
12,0.180414,0.696521,0.123065
