2. CPI,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.00001,0.99999,0
2,0.037558,0.96147,0.000972
3,0.039838,0.921423,0.038739
4,0.11277,0.84005,0.04718
5,0.122971,0.808557,0.068472
6,0.124726,0.80653,0.068744
7,0.123665,0.802112,0.074223
8,0.123999,0.79947,0.076531
9,0.124296,0.788679,0.087025
10,0.124429,0.788037,0.087534
11,0.12446,0.787938,0.087602
12,0.124766,0.787663,0.087571
