1. REER,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.000133,0.000216,0.999652
2,0.037587,0.005823,0.95659
3,0.041266,0.007391,0.951343
4,0.047013,0.011819,0.941167
5,0.060625,0.012649,0.926727
6,0.060429,0.015801,0.92377
7,0.062168,0.015877,0.921955
8,0.063006,0.016094,0.9209
9,0.06331,0.016514,0.920175
10,0.063357,0.016572,0.920071
11,0.063458,0.016577,0.919965
12,0.063453,0.016583,0.919964
