3. Real GDP,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,1,0,0
2,0.955623,0.028121,0.016255
3,0.954482,0.029405,0.016113
4,0.945041,0.039,0.015959
5,0.925669,0.052034,0.022297
6,0.921176,0.055684,0.02314
7,0.920798,0.055891,0.023311
8,0.92068,0.056035,0.023285
9,0.919098,0.055973,0.024929
10,0.918841,0.05601,0.025149
11,0.918736,0.056041,0.025223
12,0.918658,0.056055,0.025287
