3. Real GDP,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,1,0,0
2,0.98402,0.00596,0.01002
3,0.978687,0.009595,0.011719
4,0.935136,0.014328,0.050535
5,0.900885,0.016809,0.082305
6,0.888277,0.016695,0.095028
7,0.883709,0.017049,0.099242
8,0.882089,0.017022,0.100889
9,0.87982,0.01932,0.100861
10,0.879213,0.01929,0.101497
11,0.87913,0.019393,0.101477
12,0.879093,0.019401,0.101505
