1. REER,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.005155,0.004311,0.990534
2,0.012729,0.075346,0.911925
3,0.015456,0.074459,0.910085
4,0.027908,0.074132,0.897961
5,0.031591,0.072411,0.895998
6,0.03536,0.080091,0.88455
7,0.035287,0.084247,0.880465
8,0.035278,0.08388,0.880842
9,0.035291,0.083198,0.88151
10,0.036398,0.082941,0.880661
11,0.036358,0.083584,0.880059
12,0.036324,0.083384,0.880292
