3. Real GDP,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,1,0,0
2,0.975753,0.000319,0.023928
3,0.960532,0.012292,0.027176
4,0.948921,0.018774,0.032305
5,0.938121,0.029864,0.032015
6,0.933673,0.032725,0.033602
7,0.930818,0.032664,0.036519
8,0.930517,0.033008,0.036475
9,0.93056,0.033004,0.036435
10,0.930507,0.03309,0.036404
11,0.930438,0.033125,0.036437
12,0.930395,0.03317,0.036435
