1. REER,,,
Step,GDP Shock,CPI Shock,REER Shock
0,0,0,0
1,0.092679,0.087491,0.81983
2,0.114097,0.095475,0.790428
3,0.14088,0.08924,0.76988
4,0.146385,0.094607,0.759008
5,0.152299,0.145186,0.702515
6,0.156064,0.145442,0.698494
7,0.164796,0.14433,0.690874
8,0.164563,0.14471,0.690727
9,0.162228,0.15349,0.684282
10,0.16142,0.15563,0.68295
11,0.162597,0.155163,0.68224
12,0.162501,0.155443,0.682056
